# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: D:\Saxion\Final_Embedded_Systems\ADC_HDMI_potmeter_met_scherm_magistraal_met_pongbars_van_beide_ADC\ADC_van_stack\DE10_NANO_ADC.csv
# Generated on: Tue Jan 28 11:43:55 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
ADC_CONVST,Output,PIN_U9,3A,B3A_N0,PIN_U9,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SCK,Output,PIN_V10,3A,B3A_N0,PIN_V10,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SDI,Output,PIN_AC4,3A,B3A_N0,PIN_AC4,3.3-V LVTTL,,,,,,,,,,,,,
ADC_SDO,Input,PIN_AD4,3A,B3A_N0,PIN_AD4,3.3-V LVTTL,,,,,,,,,,,,,
altera_reserved_tck,Input,,,,PIN_AB5,,,,,,,,,,,,,,
altera_reserved_tdi,Input,,,,PIN_W10,,,,,,,,,,,,,,
altera_reserved_tdo,Output,,,,PIN_Y9,,,,,,,,,,,,,,
altera_reserved_tms,Input,,,,PIN_AC7,,,,,,,,,,,,,,
ARDUINO_IO2,Output,,,,PIN_D12,,,,,,,,,,,,,,
ARDUINO_IO3,Output,,,,PIN_V15,,,,,,,,,,,,,,
ARDUINO_IO4,Output,,,,PIN_E11,,,,,,,,,,,,,,
ARDUINO_IO5,Output,,,,PIN_Y18,,,,,,,,,,,,,,
ARDUINO_IO6,Output,,,,PIN_AB26,,,,,,,,,,,,,,
ARDUINO_IO7,Output,,,,PIN_D8,,,,,,,,,,,,,,
ARDUINO_IO8,Output,,,,PIN_D11,,,,,,,,,,,,,,
ARDUINO_IO10,Output,,,,PIN_AB25,,,,,,,,,,,,,,
ARDUINO_IO11,Output,,,,PIN_Y19,,,,,,,,,,,,,,
ARDUINO_IO12,Output,,,,PIN_AF26,,,,,,,,,,,,,,
ARDUINO_IO13,Output,,,,PIN_AA26,,,,,,,,,,,,,,
FPGA_CLK1_50,Input,PIN_V11,3B,B3B_N0,PIN_V11,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK2_50,Input,PIN_Y13,4A,B4A_N0,PIN_Y13,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[0],Output,PIN_V12,3B,B3B_N0,PIN_V12,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_I2C_SCL,Bidir,PIN_U10,3A,B3A_N0,PIN_U10,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_I2C_SDA,Bidir,PIN_AA4,3A,B3A_N0,PIN_AA4,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_I2S,Bidir,PIN_T13,3B,B3B_N0,PIN_T13,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_LRCLK,Bidir,PIN_T11,3B,B3B_N0,PIN_T11,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_SCLK,Bidir,PIN_T12,3B,B3B_N0,PIN_T12,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_CLK,Output,PIN_AG5,3B,B3B_N0,PIN_AG5,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[23],Output,PIN_AE8,3B,B3B_N0,PIN_AE8,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[22],Output,PIN_AF9,3B,B3B_N0,PIN_AF9,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[21],Output,PIN_AG6,3B,B3B_N0,PIN_AG6,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[20],Output,PIN_AH6,3B,B3B_N0,PIN_AH6,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[19],Output,PIN_AH5,3B,B3B_N0,PIN_AH5,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[18],Output,PIN_AH4,3B,B3B_N0,PIN_AH4,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[17],Output,PIN_AH2,3B,B3B_N0,PIN_AH2,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[16],Output,PIN_AE4,3B,B3B_N0,PIN_AE4,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[15],Output,PIN_AF5,3B,B3B_N0,PIN_AF5,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[14],Output,PIN_AF8,3B,B3B_N0,PIN_AF8,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[13],Output,PIN_AF6,3B,B3B_N0,PIN_AF6,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[12],Output,PIN_AE7,3B,B3B_N0,PIN_AE7,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[11],Output,PIN_AB4,3A,B3A_N0,PIN_AB4,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[10],Output,PIN_AE9,3B,B3B_N0,PIN_AE9,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[9],Output,PIN_Y4,3A,B3A_N0,PIN_Y4,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[8],Output,PIN_AF10,3B,B3B_N0,PIN_AF10,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[7],Output,PIN_Y5,3A,B3A_N0,PIN_Y5,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[6],Output,PIN_AE11,3B,B3B_N0,PIN_AE11,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[5],Output,PIN_AD10,3B,B3B_N0,PIN_AD10,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[4],Output,PIN_AD11,3B,B3B_N0,PIN_AD11,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[3],Output,PIN_Y8,3A,B3A_N0,PIN_Y8,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[2],Output,PIN_W8,3A,B3A_N0,PIN_W8,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[1],Output,PIN_AE12,3B,B3B_N0,PIN_AE12,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_D[0],Output,PIN_AD12,3B,B3B_N0,PIN_AD12,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_DE,Output,PIN_AD19,4A,B4A_N0,PIN_AD19,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_HS,Output,PIN_T8,3A,B3A_N0,PIN_T8,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_INT,Input,PIN_AF11,3B,B3B_N0,PIN_AF11,3.3-V LVTTL,,,,,,,,,,,,,
HDMI_TX_VS,Output,PIN_V13,4A,B4A_N0,PIN_V13,3.3-V LVTTL,,,,,,,,,,,,,
KEY[2],Input,,,,PIN_U11,,,,,,,,,,,,,,
KEY[1],Input,PIN_AH16,4A,B4A_N0,PIN_AH16,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],Input,PIN_AH17,4A,B4A_N0,PIN_AH17,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],Input,PIN_W20,5B,B5B_N0,PIN_W20,3.3-V LVTTL,,,,,,,,,,,,,
SW[2],Input,PIN_W21,5B,B5B_N0,PIN_W21,3.3-V LVTTL,,,,,,,,,,,,,
SW[1],Input,PIN_W24,5B,B5B_N0,PIN_W24,3.3-V LVTTL,,,,,,,,,,,,,
SW[0],Input,PIN_Y24,5B,B5B_N0,PIN_Y24,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[0],Unknown,PIN_AG13,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[1],Unknown,PIN_AF13,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[2],Unknown,PIN_AG10,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[3],Unknown,PIN_AG9,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[4],Unknown,PIN_U14,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[5],Unknown,PIN_U13,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[6],Unknown,PIN_AG8,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[7],Unknown,PIN_AH8,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[8],Unknown,PIN_AF17,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[9],Unknown,PIN_AE15,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[10],Unknown,PIN_AF15,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[11],Unknown,PIN_AG16,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[12],Unknown,PIN_AH11,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[13],Unknown,PIN_AH12,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[14],Unknown,PIN_AH9,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_IO[15],Unknown,PIN_AG11,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
ARDUINO_RESET_N,Unknown,PIN_AH7,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
FPGA_CLK3_50,Unknown,PIN_E11,8A,B8A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[1],Unknown,PIN_E8,8A,B8A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[2],Unknown,PIN_W12,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[3],Unknown,PIN_D11,8A,B8A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[4],Unknown,PIN_D8,8A,B8A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[5],Unknown,PIN_AH13,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[6],Unknown,PIN_AF7,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[7],Unknown,PIN_AH14,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[8],Unknown,PIN_AF4,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[9],Unknown,PIN_AH3,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[10],Unknown,PIN_AD5,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[11],Unknown,PIN_AG14,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[12],Unknown,PIN_AE23,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[13],Unknown,PIN_AE6,3A,B3A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[14],Unknown,PIN_AD23,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[15],Unknown,PIN_AE24,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[16],Unknown,PIN_D12,8A,B8A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[17],Unknown,PIN_AD20,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[18],Unknown,PIN_C12,8A,B8A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[19],Unknown,PIN_AD17,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[20],Unknown,PIN_AC23,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[21],Unknown,PIN_AC22,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[22],Unknown,PIN_Y19,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[23],Unknown,PIN_AB23,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[24],Unknown,PIN_AA19,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[25],Unknown,PIN_W11,3B,B3B_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[26],Unknown,PIN_AA18,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[27],Unknown,PIN_W14,4A,B4A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[28],Unknown,PIN_Y18,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
GPIO_0[29],Unknown,PIN_Y17,5A,B5A_N0,,3.3-V LVTTL,,,,,,,,,,,,,
